PERIODO,MES,AGENCIA,SERVICIO HOSPEDAJE,VENTAS HOSPEDAJE EN MILES DE PESOS,SERVICIOS AEREOS,VENTAS AEREOS EN MILES DE PESOS,SERVICIOS TERRESTRE,VENTAS TERRESTRE EN MILES DE PESOS,SERVICIOS EXCURSIONES,VENTAS EXCURSIONES EN MILES DE PESOS,SERVICIOS PAQUETES PROPIOS,VENTAS PAQUETES PROPIOS EN MILES DE PESOS,SERVICIOS PAQUETES NO PROPIOS,VENTAS PAQUETES NO PROPIOS EN MILES DE PESOS,SERVICIOS TURISMO DE NEGOCIOS,VENTAS TURISMO DE NEGOCIOS EN MILES DE PESOS,SERVICIOS BALNEARIO Y O PARQUES RECREATIVOS,VENTAS BALNEARIO Y O PARQUES RECREATIVOS EN MILES DE PESOS
2014,JULIO DICIEMBRE,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,JULIO DICIEMBRE,SAN FERNANDO,104,282.66,809,15016.25,0,0,0,0,0,0,658,6281.28,0,0,0,0
2014,JULIO DICIEMBRE,CONSEJO DE LA  JUDICATURA,17,27.24,499,3373.32,0,0,0,0,0,0,39,205.66,0,0,0,0
2014,JULIO DICIEMBRE,AGUASCALIENTES AGUASCALIENTES,47,292.83,67,2079,1424,2688.74,0,0,0,0,357,3718.95,0,0,0,0
2014,JULIO DICIEMBRE,MEXICALI BAJA CALIFORNIA,0,0,1098,7447.71,2407,1533.99,0,0,0,0,55,303.44,0,0,0,0
2014,JULIO DICIEMBRE,LA PAZ BAJA CALIFORMIA SUR,0,0,47,12208.92,22475,14008.59,0,0,0,0,26,46.21,0,0,0,0
2014,JULIO DICIEMBRE,CAMPECHE CAMPECHE,0,0,45,3150.76,1,0.39,0,0,0,0,53,248.59,0,0,0,0
2014,JULIO DICIEMBRE,SALTILLO COAHUILA,31,112.62,2650,9751.43,6551,9652.93,0,0,0,0,11,78.5,0,0,0,0
2014,JULIO DICIEMBRE,COLIMA COLIMA,0,0,131,3677.1,1521,2974.96,0,0,0,0,113,243.69,0,0,0,0
2014,JULIO DICIEMBRE,TUXTLA GUTIERREZ CHIAPAS,0,0,2527,12725.5,7473,12465.29,0,0,0,0,26,28.5,0,0,0,0
2014,JULIO DICIEMBRE,CHIHUAHUA CHIHUAHUA,10,36.54,72,7151.45,642,4738.53,0,0,0,0,9,5.54,0,0,0,0
